令和5年度 現金出納帳
令和5年4月1日～令和6年03月31日
日付,科目,摘要,収入金額,支出金額,差引残高
,,前年度より繰越,,,168165
2023/05/18,郵送費,3_大宮祭運送費,,2090,166075
2023/05/20,消耗品,4_大宮祭備品代,,540,165535
2023/05/21,消耗品,5_大宮祭備品代,,535,165000
2023/05/21,交通費,7_領収書無し_大宮祭交通費B,,2332,162668
2023/05/21,交通費,8_領収書無し_大宮祭交通費C,,3288,159380
2023/05/22,交通費,6_領収書無し_大宮祭交通費A,,6776,152604
2023/05/25,郵送費,9_SFA2023郵送費,,1690,150914
2023/06/11,交通費,10_領収書無し_SFA交通費,,6270,144644
2023/07/12,企画費,11_2023年度夏号(vol.48)企画製作費,,778,143866
2023/07/19,アクティブプラン,アクティブプラン,135000,,278866
2023/08/20,印刷費,12_2023年度夏号(vol.48)印刷代,,21319,257547
2023/09/12,通信運搬費,13_バリュードメイン年会費,,5280,252267
2023/12/23,印刷費,14_2022年度冬号(vol.49)秋冬号印刷代,,36149,216118
2023/12/23,雑費,振込手数料,,440,215678
2024/03/08,消耗品,15_ステッカー発注費,,5300,210378
2024/03/12,イベント参加費,16_15周年記念OGOB会会場費,,9900,200478
2024/03/12,企画費,17_領収書無し_2024年度春号(vol.50)企画製作費(かき氷あり),,5000,195478
2024/03/12,企画費,18_2024年度春号(vol.50)企画製作費,,1412,194066
2024/03/21,雑費,アクティブプラン返金(振込)手数料,,220,193846
2024/03/21,雑費,アクティブプラン返金,,20303,173543
2024/04/10,謝礼費,1_2022年度冬号(vol.46)読者プレゼント,,3444,170099
2024/04/10,印刷費,2_2023年度春号(vol.47)春号印刷代,,26040,144059
,,合計,135000,159106,144059
